TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
101,1054.5866983605695,-1611.558684136422,-405.0794281608772,884.6797253460402,746.3606654316857,-8203.342267786576,-5182.80476684348,-2998.9703197768804
102,1006.1938938311038,-1536.0499029615803,-392.8505401215151,840.9283958140918,712.1891888928606,-7822.14854976672,-4939.79588097754,-2856.057108492514
103,958.910422812311,-1463.339477795154,-379.60268935552017,797.7496170597187,677.2354467932433,-7432.728265094949,-4692.348566070436,-2709.2116925149594
104,908.1385063473768,-1393.516393065724,-364.5468568208784,751.0014299419405,634.6743057798122,-7034.078372170281,-4441.516060350095,-2561.515077229478
105,857.3406403780093,-1310.4061643347413,-332.6067329678207,703.0891119862863,591.1931111860794,-6611.105918437488,-4174.485783182444,-2413.043433503547
106,804.7249259273376,-1226.491456069803,-300.00989471268565,655.1436783410866,547.8971667479339,-6182.597449544623,-3904.1808001443137,-2264.1718143657904
107,744.4411841643358,-1155.650712919547,-285.6385147956729,605.7225867479419,502.2665742734106,-5771.858111607088,-3648.127653991085,-2116.129698260407
108,682.0751445406171,-1079.4051888838994,-272.2425128479649,558.9678446653976,464.0029229346263,-5364.904599033431,-3393.6063373433653,-1966.6298448941689
109,624.6165013683783,-992.6226329551134,-251.19870063019445,518.0709866337394,437.0799567239168,-4954.123983599238,-3133.6418861609054,-1813.560254827193
110,567.7452535030927,-914.4109446787185,-237.32435967641055,477.4576655980118,408.1585998298283,-4553.374679052857,-2881.827583692008,-1659.7676938711202
111,510.0712567957631,-839.446963952438,-222.26879119481228,433.5310301506305,372.1286420495484,-4151.928633291895,-2632.338242782387,-1507.8429584307532
112,456.4863911332176,-754.8497189914589,-193.26963766271018,389.92763443572846,336.70334746829445,-3736.0082543453327,-2373.1282277244495,-1357.2322281432296
113,403.3874530555569,-675.2872205387011,-169.70136388450183,347.5186732060811,301.2998629867659,-3327.23374743741,-2119.002306436446,-1208.4232164795214
114,346.6263354658063,-603.9504413023626,-158.7831723905923,305.1808996987338,264.2495163047844,-2935.4811225746844,-1876.454137108883,-1061.9824635555747
115,292.98571533728887,-522.4045328509854,-140.10339491276025,266.43236381692464,233.0419313773578,-2540.975873258094,-1628.5854768444092,-916.164045908096
116,244.7526212961018,-439.0979037409911,-117.34782109956903,231.30274739968507,204.98627602743505,-2147.247391078497,-1378.8181815904852,-771.3704424903347
117,195.70261682661425,-372.34957924718617,-106.08424852183975,193.42014535008417,168.32967532243984,-1769.861002194667,-1142.402793097385,-630.8393476252581
118,147.77267674926685,-308.11348648344404,-92.56963437804828,152.39191385999203,127.13600109685379,-1395.5638706796203,-909.1273068774273,-494.6993961662659
119,105.8310046455869,-235.50685859439747,-69.22120611360721,112.66306943989431,91.35779005467973,-1018.8885096965589,-671.2583681029523,-360.64716938747426
120,64.60847293499688,-168.51284996462547,-53.79088395543403,72.78455052301256,56.62090288879425,-660.6520782192285,-443.1415883474016,-229.06251454480494
121,21.128015114859256,-104.22152308883106,-42.9861176647352,31.8568253352532,20.400542463803827,-319.04126613816317,-223.4614058976303,-101.05655321434398
122,-19.645563990510798,-31.37825867921749,-21.565179176590004,-5.478843229355121,-11.272568777731344,21.419300051773263,-0.12340824210397727,23.85176627938204
123,-59.52074434775468,32.60005947769543,-4.8632915980970495,-39.532078846393375,-43.06709042041777,345.5840912730628,213.52832113611112,144.4855611635255
124,-102.72072618946055,78.03071235875868,-3.874512442855378,-74.44301029655094,-81.70866493419652,642.9064777356923,406.7568432546372,259.0152115459744
125,-142.90791538074637,126.62877206809671,1.2775736917559692,-108.2018457221435,-118.28761146991118,934.2271785500161,596.2531263805546,368.90285397070636
126,-176.3554895293916,182.10539037590456,12.955330335120674,-139.40396527856467,-147.59179576186907,1221.819685615159,785.2448955668751,475.15617432730187
127,-209.90922600879827,228.31280305393076,14.401066434265363,-172.51714107775496,-177.38720976302943,1487.7258185623264,958.4082733572891,574.9650621272701
128,-244.20919595133063,273.98074750399223,15.504867848902983,-206.69861807789485,-205.3109001158378,1740.651735323293,1121.7062799441137,667.1824196980792
129,-274.03183300477207,328.7070011381778,27.230665151071676,-235.9135431838107,-223.1695672963059,1990.4296129157783,1284.2022897335414,754.1593868410667
130,-302.52863385813185,376.8768846066703,33.288965106951636,-260.37015597444054,-237.34431916051793,2220.3302556268322,1432.4734818127117,836.9626607522182
