TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
141,-602.2475750627882,66.28309276236249,-111.39956748487032,159.6741056716915,-472.53196300039383,4293.688066705992,7058.764606859001,-690.2458628278637
142,-608.270888296253,65.7113133677874,-112.35108566270205,172.60650278157684,-486.4702389505577,4387.181085446195,7212.117153874756,-697.1607859994562
143,-618.5828866259455,38.62190066105401,-135.86586905344967,165.85805312418165,-523.3506158254861,4446.680238841992,7320.707287218265,-713.5716442950742
144,-629.5000615405331,12.559139044466132,-152.49785568367398,154.67262023724425,-564.3708312873118,4501.373630223737,7414.2167971671615,-727.2687113338443
145,-634.6370783420352,2.612452109980495,-149.36248556145105,158.12960787323578,-588.7387717045413,4563.243717729889,7506.291510809174,-727.2612274851497
146,-640.8384966052768,-20.190893265085727,-164.0502859584908,158.82837306899722,-614.1824353956476,4594.149069424644,7560.997176485527,-734.9712898968938
147,-648.8065454069636,-43.60902484143761,-187.8840832495854,156.23887862239326,-636.4536496322049,4601.876476365748,7587.787088658194,-749.6465147094048
148,-649.608636593548,-35.488429297032255,-185.26375435680853,171.1802761061448,-631.0191870375295,4621.9030323479765,7622.033759912013,-747.8223044640677
149,-647.8593025947125,-22.44604566412143,-181.40595835073697,187.23016474850405,-617.4005839014624,4630.684170026083,7638.856912473919,-740.9178323914368
150,-651.7370159365616,-27.055021746055957,-196.91344076998553,181.87757187147477,-619.9613176743599,4609.171661423621,7617.837723642575,-745.8354165196022
151,-653.5873095509755,-22.912708087076673,-199.0737233016331,172.39112456036133,-620.5819590585025,4590.639993520614,7590.8341872939,-745.1066364536297
152,-648.7695922737723,-13.281072323827647,-189.62393263306004,165.4234905208575,-616.0011928656855,4574.425744487849,7556.157490413259,-735.6043604457957
153,-644.2252841308884,-22.014354072138694,-197.2096677942557,144.3612225575389,-625.5740814686903,4532.708303066776,7486.924264398526,-736.9399915163431
154,-637.5004107170698,-20.802849057266435,-195.48546440685413,124.62382767092049,-629.9565895044555,4490.899203483075,7411.419302606627,-738.0732456308766
155,-623.6338826262372,8.489082836308738,-167.0343687591128,125.12200693033765,-607.6093345194886,4465.856299344743,7349.064534437115,-723.3175428807865
156,-612.7100970642701,25.905114473355432,-155.51248162785558,121.69268470322464,-584.3219650263194,4415.102064720257,7258.374686403814,-714.02561963166
